Coughing,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Body_Temperature,Disease_Prediction
Yes,Fever,Nasal Discharge,Labored Breathing,Coughing,40.1°C,Foot and Mouth Disease
No,Lethargy,Decreased Milk Yield,Fever,No,39.6°C,Mastitis
No,Fever,Lethargy,Decreased Milk Yield,Appetite Loss,39.7°C,Bovine Respiratory Disease
No,Decreased Milk Yield,Fever,Appetite Loss,Lethargy,39.5°C,Mastitis
Yes,Fever,Decreased Milk Yield,Lethargy,Nasal Discharge,39.8°C,Bovine Respiratory Disease
Yes,Lethargy,Fever,Decreased Milk Yield,Nasal Discharge,39.6°C,Mastitis
No,Appetite Loss,Diarrhea,Lethargy,Decreased Milk Yield,39.4°C,Johne's Disease
No,Diarrhea,Lethargy,Appetite Loss,Decreased Milk Yield,39.7°C,Salmonellosis
Yes,Coughing,Nasal Discharge,Labored Breathing,Fever,39.9°C,Bovine Respiratory Disease
No,Lethargy,Diarrhea,Appetite Loss,Dehydration,39.1°C,Bovine Viral Diarrhea
Yes,Fever,Coughing,Lethargy,Decreased Milk Yield,39.6°C,Mastitis
Yes,Diarrhea,Lethargy,Appetite Loss,Dehydration,39.5°C,Cryptosporidiosis
No,Fever,Diarrhea,Lethargy,Appetite Loss,39.8°C,Bovine Leukemia Virus
Yes,Appetite Loss,Lethargy,Diarrhea,Dehydration,39.3°C,Bovine Coccidiosis
Yes,Fever,Nasal Discharge,Decreased Milk Yield,Lethargy,39.4°C,Bovine Respiratory Syncytial Virus
Yes,Coughing,Nasal Discharge,Labored Breathing,Lethargy,39.9°C,Bovine Pneumonia
No,Loss of Appetite,Weight Loss,Lethargy,Reduced Milk Production,39.5°C,Johne's Disease
Yes,Diarrhea,Dehydration,Lethargy,Loss of Appetite,39.4°C,Salmonellosis
Yes,Fever,Nasal Discharge,Lethargy,Coughing,39.8°C,Respiratory Syncytial Virus
No,Weight Loss,Reduced Milk Production,Lethargy,Appetite Loss,39.4°C,Tuberculosis
No,Diarrhea,Dehydration,Loss of Appetite,Lethargy,39.3°C,Coccidiosis
No,Nasal Discharge,Coughing,Labored Breathing,Fever,39.9°C,Bovine Influenza
Yes,Weight Loss,Reduced Milk Production,Appetite Loss,Lethargy,39.4°C,Johne's Disease
Yes,Coughing,Labored Breathing,Lethargy,Nasal Discharge,40.0°C,Bovine Respiratory Disease
No,Diarrhea,Dehydration,Lethargy,Appetite Loss,39.3°C,Bovine Johne's Disease
No,Coughing,Nasal Discharge,Labored Breathing,Fever,39.4°C,Bovine Tuberculosis
Yes,Labored Breathing,Nasal Discharge,Coughing,Fever,39.6°C,Bovine Respiratory Disease
Yes,Coughing,Nasal Discharge,Appetite Loss,Fever,39.4°C,Bovine Tuberculosis
Yes,Appetite Loss,Weight Loss,Fever,Lethargy,39.3°C,Bovine Johne's Disease
Yes,Coughing,Nasal Discharge,Fever,Weight Loss,39.4°C,Bovine Respiratory Disease
No,Lethargy,Coughing,Nasal Discharge,Fever,39.6°C,Bovine Tuberculosis
Yes,Loss of Appetite,Fever,Coughing,Lethargy,39.5°C,Bovine Johne's Disease
No,Coughing,Nasal Discharge,Lethargy,Fever,39.5°C,Bovine Viral Diarrhea
Yes,Coughing,Fever,Loss of Appetite,Lethargy,39.3°C,Bovine Respiratory Syncytial Virus
Yes,Coughing,Lethargy,Loss of Appetite,Swollen Legs,39.1°C,Bovine Tuberculosis
No,Coughing,Fever,Loss of Appetite,Lethargy,39.2°C,Bovine Respiratory Disease
Yes,Coughing,Lethargy,Loss of Appetite,Swollen Legs,39.1°C,Bovine Tuberculosis
Yes,Coughing,Loss of Appetite,Lethargy,Fever,39.1°C,Bovine Tuberculosis
Yes,Coughing,Loss of Appetite,Lethargy,Fever,39.3°C,Bovine Respiratory Syncytial Virus
Yes,Coughing,Loss of Appetite,Lethargy,Fever,39.3°C,Bovine Viral Diarrhea
No,Coughing,Loss of Appetite,Lethargy,Fever,39.2°C,Bovine Tuberculosis
No,Coughing,Loss of Appetite,Lethargy,Fever,39.3°C,Bovine Respiratory Disease
No,Coughing,Loss of Appetite,Lethargy,Fever,39.0°C,Bovine Parainfluenza
No,Coughing,Loss of Appetite,Lethargy,Fever,39.4°C,Bovine Tuberculosis
No,Coughing,Loss of Appetite,Lethargy,Fever,39.2°C,Bovine Viral Diarrhea
No,Coughing,Loss of Appetite,Lethargy,Fever,39.3°C,Bovine Tuberculosis
No,Coughing,Loss of Appetite,Lethargy,Fever,39.4°C,Bovine Tuberculosis
No,Coughing,Loss of Appetite,Lethargy,Fever,39.5°C,Bovine Respiratory Disease Complex
No,Coughing,Loss of Appetite,Lethargy,Fever,39.6°C,Johne's Disease
Yes,Coughing,Loss of Appetite,Lethargy,Fever,39.4°C,Bovine Johne's Disease
Yes,Coughing,Loss of Appetite,Lethargy,Fever,39.6°C,Bovine Tuberculosis
No,Coughing,Loss of Appetite,Lethargy,Fever,39.2°C,Bovine Respiratory Disease
No,Coughing,Loss of Appetite,Lethargy,Fever,39.3°C,Bovine Tuberculosis
Yes,Coughing,Loss of Appetite,Lethargy,Fever,39.5°C,Bovine Johne's Disease
Yes,Coughing,Loss of Appetite,Lethargy,Fever,39.5°C,Bovine Respiratory Disease Complex
Yes,Coughing,Loss of Appetite,Lethargy,Fever,39.3°C,Bovine Tuberculosis
Yes,Coughing,Loss of Appetite,Lethargy,Fever,39.5°C,Bovine Respiratory Disease Complex
Yes,Coughing,Loss of Appetite,Lethargy,Fever,39.4°C,Bovine Respiratory Disease
Yes,Coughing,Loss of Appetite,Lethargy,Fever,39.5°C,Bovine Tuberculosis
Yes,Coughing,Loss of Appetite,Lethargy,Fever,39.3°C,Bovine Respiratory Disease
Yes,Coughing,Loss of Appetite,Lethargy,Fever,39.2°C,Bovine Mastitis
Yes,Coughing,Loss of Appetite,Lethargy,Fever,39.4°C,Bovine Respiratory Disease
Yes,Coughing,Loss of Appetite,Lethargy,Fever,39.4°C,Bovine Respiratory Disease
No,Coughing,Loss of Appetite,Lethargy,Fever,39.2°C,Bovine Mastitis
Yes,Coughing,Loss of Appetite,Lethargy,Fever,39.4°C,Bovine Respiratory Disease
Yes,Coughing,Loss of Appetite,Lethargy,Fever,39.4°C,Bovine Tuberculosis
Yes,Fever,Nasal Discharge,Labored Breathing,Coughing,40.1°C,Foot and Mouth Disease
No,Lethargy,Decreased Milk Yield,Fever,No,39.6°C,Mastitis
